workout_id,lesson_id,user_id,leaderboard_position,total_points,state,app_type,app_tracker,studio_id,lesson_name,created_at
4746012,1394,544566,213,1075.5525,COMPLETED,ios,TICKR X F622,CARDIO,Intervals #36,2020-11-07T09:30:16.803Z
4745761,1394,408120,214,1071.978,COMPLETED,ios,TICKR X 4D44,CARDIO,Intervals #36,2020-11-07T09:30:00.782Z
4745732,1394,362259,215,1061.7188,COMPLETED,ios,TICKR X 2BA0,CARDIO,Intervals #36,2020-11-07T09:30:00.676Z
4745821,1394,42032,216,1057.5245,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:01.042Z
4745930,1394,378104,217,1041.3754,COMPLETED,android,Versa 3,CARDIO,Intervals #36,2020-11-07T09:30:03.218Z
4745776,1394,123345,218,872.659,COMPLETED,ios,TICKR 6C30,CARDIO,Intervals #36,2020-11-07T09:30:00.842Z
4745805,1394,168875,219,865.2175,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:00.977Z
4745889,1394,545034,220,845.9358,COMPLETED,ios,Wahoo HRM v2.1,CARDIO,Intervals #36,2020-11-07T09:30:01.804Z
4745794,1394,270798,221,705.27924,COMPLETED,ios,TICKR X 8AE9,CARDIO,Intervals #36,2020-11-07T09:30:00.947Z
4745829,1394,489825,222,704.3277,COMPLETED,ios,TICKR 3E11,CARDIO,Intervals #36,2020-11-07T09:30:01.087Z
4746028,1394,120927,223,703.924,COMPLETED,ios,TICKR X 3D26,CARDIO,Intervals #36,2020-11-07T09:30:17.869Z
4745719,1394,553292,224,602.9487,QUIT,ios,TICKR X 2714,CARDIO,Intervals #36,2020-11-07T09:30:00.493Z
4745959,1394,152668,225,575.6532,COMPLETED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:10.962Z
4745762,1394,509616,226,554.07513,QUIT,ios,TICKR X 4841,CARDIO,Intervals #36,2020-11-07T09:30:00.789Z
4745892,1394,158471,227,420.05927,CANCELLED,ios,TICKR X 120D,CARDIO,Intervals #36,2020-11-07T09:30:01.834Z
4745943,1394,158741,228,296.3949,QUIT,ios,TICKR X 680A,CARDIO,Intervals #36,2020-11-07T09:30:04.587Z
4746018,1394,439818,229,238.69127,CANCELLED,ios,TICKR X 2CF2,CARDIO,Intervals #36,2020-11-07T09:30:17.182Z
4745936,1394,165779,230,142.69987,COMPLETED,android,TICKR X E081,CARDIO,Intervals #36,2020-11-07T09:30:03.549Z
4745874,1394,316801,231,13.467917,CANCELLED,ios,FIIT 863936,CARDIO,Intervals #36,2020-11-07T09:30:01.576Z
4745954,1394,501527,232,,CANCELLED,ios,MYZONE-0001541923,CARDIO,Intervals #36,2020-11-07T09:30:10.8Z
4745990,1394,258655,232,,COMPLETED,android,TICKR X B141,CARDIO,Intervals #36,2020-11-07T09:30:11.668Z
4745977,1394,410102,232,,CANCELLED,ios,TICKR X 236A,CARDIO,Intervals #36,2020-11-07T09:30:11.33Z
4745919,1394,414176,232,,COMPLETED,android,TICKR 17DD,CARDIO,Intervals #36,2020-11-07T09:30:02.932Z
4746016,1394,479615,232,,CANCELLED,ios,APPLE_WATCH,CARDIO,Intervals #36,2020-11-07T09:30:17.038Z
4745870,1394,516862,232,,CANCELLED,ios,TICKR X CFD3,CARDIO,Intervals #36,2020-11-07T09:30:01.482Z
4745969,1394,365479,232,,CANCELLED,ios,TICKR X 449D,CARDIO,Intervals #36,2020-11-07T09:30:11.276Z
